comp_id,latitude,longitude
node,30.290732,-97.7342758
node,30.1636059,-97.7909606
node,30.1636208,-97.7906431
node,30.2291546,-97.7833122
node,30.259603,-97.754585
node,30.24346,-97.7831233
node,30.3349573,-97.7393304
node,30.3582539,-97.7390479
node,30.3237706,-97.7265395
node,30.3891429,-97.7415315
node,30.1833971,-97.848193
node,30.1835825,-97.848253
node,30.183679,-97.8482015
node,30.1837829,-97.8481415
node,30.1846658,-97.8476007
node,30.1848883,-97.847472
node,30.1850367,-97.8473861
node,30.2959244,-97.7175123
node,30.3957426,-97.7473898
node,30.3997825,-97.7473547
node,30.3998188,-97.7470407
node,30.2023919,-97.8062582
node,30.2029899,-97.8054428
node,30.3910562,-97.7471925
node,30.4489286,-97.7919328
node,30.4474774,-97.7822068
node,30.460525,-97.7952331
node,30.2381148,-97.7394025
node,30.2463732,-97.7511143
node,30.2475017,-97.7700166
node,30.2477582,-97.7744273
node,30.2484184,-97.7617375
node,30.2479896,-97.7618403
node,30.2483628,-97.7616141
node,30.2462636,-97.7563516
node,30.2485095,-97.7708178
node,30.2482222,-97.7714991
node,30.2433911,-97.7642491
node,30.2493714,-97.7507924
node,30.2504524,-97.7551176
node,30.2505672,-97.7550827
node,30.2491584,-97.7548893
node,30.2446379,-97.7572419
node,30.235453,-97.7568058
node,30.2806562,-97.7584194
node,30.280369,-97.7587466
node,30.285291,-97.740764
node,30.2416355,-97.7595328
node,30.2472903,-97.7557447
node,30.2758108,-97.6689754
node,30.3140427,-97.7198644
node,30.3883743,-97.7412417
node,30.3895663,-97.7427876
node,30.3893126,-97.7426531
node,30.390847,-97.7440243
node,30.3894341,-97.7427081
node,30.3893973,-97.7423987
node,30.3955717,-97.7275147
node,30.3970126,-97.7267826
node,30.3957324,-97.727209
node,30.3963162,-97.7270504
node,30.3919479,-97.7449137
node,30.3925605,-97.7453656
node,30.3924597,-97.7451888
node,30.3925187,-97.7452779
node,30.3966875,-97.7432927
node,30.3917293,-97.7444326
node,30.3926011,-97.7454472
node,30.3836962,-97.7386043
node,30.3835861,-97.7381978
node,30.3950635,-97.7449739
node,30.3947167,-97.7443292
node,30.3943654,-97.743245
node,30.3945527,-97.7439855
node,30.3949745,-97.7447895
node,30.3944869,-97.7434973
node,30.3944093,-97.7433501
node,30.3944554,-97.7434255
