block_group_id,population,median_income
060750101011,957.0,123826.0
060750101012,1047.0,66103.0
060750101021,1795.0,108417.0
060750102011,1310.0,189181.0
060750102012,1298.0,152328.0
060750102021,870.0,198692.0
060750102022,891.0,219038.0
060750103001,1441.0,147500.0
060750103002,789.0,208345.0
060750103003,1561.0,178889.0
060750104011,796.0,216667.0
060750104012,1597.0,186923.0
060750104021,806.0,205441.0
060750104022,793.0,158458.0
060750104023,413.0,-666666666.0
060750105001,1489.0,89918.0
060750105002,856.0,209107.0
060750105003,832.0,152500.0
060750106001,1297.0,102679.0
060750106002,898.0,42656.0
060750106003,1098.0,90481.0
060750107011,1522.0,33638.0
060750107012,1758.0,23180.0
060750107021,661.0,80872.0
060750107022,719.0,64554.0
060750108001,1733.0,235093.0
060750108002,748.0,-666666666.0
060750108003,1853.0,168906.0
060750109011,1030.0,198125.0
060750109012,1039.0,184643.0
060750109021,1014.0,111250.0
060750109022,1554.0,183309.0
060750110011,1173.0,87857.0
060750110012,1154.0,131382.0
060750110021,479.0,-666666666.0
060750110022,639.0,222913.0
060750110023,637.0,144926.0
060750111011,978.0,89521.0
060750111012,734.0,144653.0
060750111013,758.0,86667.0
060750111021,1244.0,111031.0
060750111022,961.0,101131.0
060750112001,1032.0,56635.0
060750112002,621.0,141154.0
060750112003,324.0,-666666666.0
060750112004,701.0,200313.0
060750113001,1266.0,65938.0
060750113002,1252.0,30321.0
060750117001,518.0,-666666666.0
060750117002,388.0,49722.0
060750117003,184.0,-666666666.0
060750117004,857.0,98711.0
060750118001,1635.0,43833.0
060750119011,1304.0,101027.0
060750119012,274.0,211679.0
060750119013,506.0,91992.0
060750119021,640.0,113942.0
060750119022,1327.0,85625.0
060750119023,765.0,64833.0
060750120011,968.0,92750.0
060750120012,770.0,91007.0
060750120021,1356.0,55185.0
060750120022,679.0,115313.0
060750121001,757.0,-666666666.0
060750121002,1023.0,205096.0
060750121003,1470.0,83333.0
060750122021,1318.0,55417.0
060750122022,1699.0,51083.0
060750122031,1373.0,14364.0
060750122032,522.0,48922.0
060750122041,579.0,-666666666.0
060750122042,946.0,67604.0
060750122043,864.0,99769.0
060750123011,906.0,34706.0
060750123012,636.0,23912.0
060750123013,224.0,14055.0
060750123021,524.0,104531.0
060750123022,702.0,84028.0
060750123023,652.0,47439.0
060750123024,708.0,32292.0
060750124031,1493.0,-666666666.0
060750124032,1203.0,70127.0
060750124041,1243.0,-666666666.0
060750124042,717.0,-666666666.0
060750124043,627.0,52820.0
060750124051,1112.0,46969.0
060750124052,2106.0,178147.0
060750124053,660.0,111392.0
060750124061,489.0,-666666666.0
060750124062,869.0,25912.0
060750125021,926.0,14600.0
060750125022,1043.0,-666666666.0
060750125023,1280.0,18222.0
060750125024,1440.0,-666666666.0
060750125031,961.0,-666666666.0
060750125032,1156.0,-666666666.0
060750125033,2380.0,71703.0
060750125041,651.0,22639.0
060750126011,1127.0,170282.0
060750126012,918.0,178462.0
060750126021,1442.0,250001.0
060750126022,1514.0,196838.0
060750127001,1932.0,250001.0
060750127002,1469.0,250001.0
060750127003,572.0,154080.0
060750128011,948.0,250001.0
060750128012,896.0,250001.0
060750128013,703.0,213704.0
060750128021,773.0,176620.0
060750128022,1262.0,250001.0
060750129011,1237.0,237969.0
060750129012,1650.0,231209.0
060750129021,939.0,210822.0
060750129022,1225.0,183214.0
060750129023,571.0,250001.0
060750130011,800.0,166806.0
060750130012,970.0,119016.0
060750130021,2098.0,250001.0
060750130022,687.0,209125.0
060750131011,996.0,245417.0
060750131012,934.0,196518.0
060750131013,1047.0,156168.0
060750131014,958.0,228333.0
060750131021,1301.0,222344.0
060750131022,1424.0,250001.0
060750132001,886.0,225438.0
060750132002,694.0,250001.0
060750132003,1038.0,152132.0
060750132004,1103.0,154545.0
060750133001,522.0,250001.0
060750133002,1121.0,223167.0
060750133003,855.0,24043.0
060750133004,932.0,-666666666.0
060750133005,730.0,201750.0
060750134011,698.0,208140.0
060750134012,758.0,239333.0
060750134021,2302.0,170190.0
060750135001,1472.0,182083.0
060750135002,444.0,180893.0
060750135003,628.0,183385.0
060750151001,989.0,168043.0
060750151002,1105.0,199556.0
060750151003,746.0,117857.0
060750152011,1088.0,127167.0
060750152012,444.0,88438.0
060750152021,963.0,88796.0
060750152022,1371.0,209583.0
060750153001,957.0,245212.0
060750153002,1470.0,173182.0
060750154011,2110.0,180459.0
060750154012,925.0,-666666666.0
060750154021,1402.0,230250.0
060750154022,1345.0,167023.0
060750155001,1503.0,131953.0
060750155002,693.0,-666666666.0
060750155003,902.0,22340.0
060750155004,838.0,162361.0
060750156001,486.0,121528.0
060750156002,1548.0,111333.0
060750156003,893.0,41948.0
060750157011,2780.0,184688.0
060750157012,2178.0,140536.0
060750157021,1734.0,195089.0
060750157022,1375.0,250001.0
060750158011,382.0,-666666666.0
060750158012,1629.0,210259.0
060750158013,1209.0,114545.0
060750158021,1493.0,186935.0
060750158022,1670.0,118056.0
060750159001,1862.0,-666666666.0
060750159002,1339.0,-666666666.0
060750159003,748.0,87589.0
060750159004,927.0,97788.0
060750160001,1139.0,-666666666.0
060750160002,1586.0,143511.0
060750161011,1587.0,30595.0
060750161012,857.0,158958.0
060750161021,725.0,69250.0
060750161022,2073.0,18298.0
060750162001,1326.0,94243.0
060750162002,1007.0,-666666666.0
060750162003,865.0,162917.0
060750163001,583.0,48977.0
060750163002,1218.0,136422.0
060750163003,958.0,180188.0
060750163004,1035.0,59960.0
060750164001,1878.0,210673.0
060750164002,636.0,190066.0
060750164003,967.0,176181.0
060750165001,1459.0,121961.0
060750165002,1211.0,189000.0
060750165003,1933.0,221100.0
060750165004,790.0,161979.0
060750166011,1761.0,129844.0
060750166012,1266.0,177813.0
060750166021,1986.0,218394.0
060750167001,1496.0,245341.0
060750167002,475.0,-666666666.0
060750167003,1423.0,250001.0
060750167004,1698.0,233947.0
060750168011,1339.0,238958.0
060750168012,1016.0,87200.0
060750168013,1658.0,218011.0
060750168021,1089.0,150667.0
060750168022,1074.0,73693.0
060750168023,1591.0,171328.0
060750169001,1263.0,-666666666.0
060750169002,783.0,157143.0
060750169003,844.0,197273.0
060750170001,854.0,250001.0
060750170002,959.0,231103.0
060750170003,1290.0,245714.0
060750170004,913.0,223929.0
060750171011,1318.0,233214.0
060750171012,1441.0,250001.0
060750171013,1366.0,135000.0
060750171021,1078.0,225278.0
060750171022,902.0,167685.0
060750171023,1570.0,175217.0
060750176021,1817.0,150508.0
060750176022,1131.0,90101.0
060750176023,303.0,14286.0
060750176031,875.0,-666666666.0
060750176032,649.0,-666666666.0
060750176033,1143.0,-666666666.0
060750176034,1860.0,193309.0
060750176041,1018.0,141944.0
060750176042,1563.0,103841.0
060750176043,1139.0,51325.0
060750177001,496.0,227143.0
060750177002,1864.0,146500.0
060750178011,1160.0,15466.0
060750178012,1166.0,152054.0
060750178013,1009.0,97083.0
060750178031,1200.0,64526.0
060750178032,1118.0,250001.0
060750178041,1392.0,152721.0
060750178042,1165.0,84254.0
060750178043,701.0,138603.0
060750178044,653.0,143993.0
060750179031,2829.0,91750.0
060750179032,0.0,-666666666.0
060750180001,745.0,194688.0
060750180002,980.0,203942.0
060750180003,827.0,178750.0
060750180004,1084.0,250001.0
060750201011,1858.0,126250.0
060750201012,2363.0,140397.0
060750201021,1707.0,95764.0
060750201022,1359.0,-666666666.0
060750201023,561.0,-666666666.0
060750202011,776.0,75440.0
060750202012,1071.0,239167.0
060750202021,1305.0,178632.0
060750202022,1337.0,120833.0
060750202023,1287.0,240370.0
060750203001,1460.0,145000.0
060750203002,955.0,237935.0
060750203003,957.0,143333.0
060750204011,1100.0,164625.0
060750204012,1061.0,116855.0
060750204013,1248.0,250001.0
060750204021,1133.0,158315.0
060750204022,1124.0,121711.0
060750204023,904.0,180143.0
060750204024,922.0,188454.0
060750205001,845.0,153021.0
060750205002,885.0,208929.0
060750205003,1165.0,250001.0
060750206011,1054.0,241250.0
060750206012,2019.0,180417.0
060750206021,1124.0,204276.0
060750206022,1245.0,203906.0
060750207011,1186.0,250001.0
060750207012,1141.0,187377.0
060750207013,705.0,181201.0
060750207021,1169.0,106250.0
060750207022,877.0,157083.0
060750208011,1163.0,149625.0
060750208012,1389.0,62021.0
060750208013,1180.0,154107.0
060750208021,1045.0,121389.0
060750208022,1229.0,90455.0
060750209001,1065.0,83611.0
060750209002,1107.0,78750.0
060750209003,540.0,-666666666.0
060750209004,932.0,97117.0
060750210001,1260.0,180795.0
060750210002,875.0,124301.0
060750210003,928.0,157368.0
060750210004,676.0,-666666666.0
060750211001,1318.0,250001.0
060750211002,974.0,147196.0
060750211003,894.0,250001.0
060750211004,868.0,247778.0
060750212001,854.0,197875.0
060750212002,1277.0,152583.0
060750212003,921.0,240000.0
060750213001,1060.0,250001.0
060750213002,1888.0,204044.0
060750214001,794.0,245227.0
060750214002,1398.0,177206.0
060750214003,1330.0,238000.0
060750215001,1461.0,191346.0
060750215002,1428.0,152303.0
060750215003,515.0,-666666666.0
060750215004,922.0,183184.0
060750215005,1015.0,250001.0
060750216001,2398.0,250001.0
060750216002,1478.0,196875.0
060750216003,541.0,-666666666.0
060750217001,1053.0,130938.0
060750217002,1989.0,178929.0
060750217003,1417.0,117034.0
060750218001,1080.0,181833.0
060750218002,1013.0,250001.0
060750218003,898.0,250001.0
060750218004,1008.0,250001.0
060750226001,2343.0,241250.0
060750226002,1867.0,250001.0
060750227021,1287.0,250001.0
060750227022,730.0,250001.0
060750227041,1835.0,250001.0
060750227042,1216.0,250001.0
060750227043,931.0,217931.0
060750228011,2320.0,106172.0
060750228012,1420.0,188083.0
060750228013,1015.0,-666666666.0
060750228021,706.0,150536.0
060750228022,1530.0,123611.0
060750228031,2308.0,157977.0
060750228032,662.0,193456.0
060750228033,1128.0,157287.0
060750229011,1114.0,133424.0
060750229012,1994.0,90714.0
060750229013,1089.0,63036.0
060750229021,1026.0,230761.0
060750229022,993.0,198750.0
060750229031,1272.0,225777.0
060750229032,685.0,250001.0
060750229033,718.0,190216.0
060750230011,2162.0,125500.0
060750230012,1311.0,145263.0
060750230013,2103.0,145313.0
060750230031,815.0,95871.0
060750230032,1606.0,-666666666.0
060750230033,1604.0,154516.0
060750231021,2134.0,57793.0
060750231022,1277.0,-666666666.0
060750231031,1785.0,27708.0
060750231032,2727.0,30316.0
060750232001,1972.0,123167.0
060750232002,1244.0,61458.0
060750232003,998.0,197375.0
060750233001,1304.0,-666666666.0
060750233002,2630.0,115735.0
060750234001,2019.0,-666666666.0
060750234002,1792.0,-666666666.0
060750251001,1789.0,123594.0
060750251002,674.0,214444.0
060750251003,879.0,138750.0
060750252001,1384.0,90368.0
060750252002,1730.0,250001.0
060750252003,1537.0,250001.0
060750252004,959.0,-666666666.0
060750253001,749.0,238864.0
